产品类别,销售数量,单价,客户所在城市,支付方式,订单日期,销售金额
服装,3,89,昆明,微信支付,2025-10-29,267
图书,6,99,上海,微信支付,2025-10-29,594
服装,8,399,福州,支付宝,2025-10-29,3192
图书,6,29,重庆,银行卡,2025-10-29,174
食品,6,49,宁波,支付宝,2025-10-30,294
图书,2,59,昆明,银行卡,2025-10-31,118
图书,5,49,天津,微信支付,2025-10-31,245
电子产品,2,2999,青岛,支付宝,2025-11-01,5998
服装,6,699,北京,支付宝,2025-11-01,4194
图书,10,29,宁波,支付宝,2025-11-01,290
服装,3,199,昆明,微信支付,2025-11-01,597
电子产品,6,129,深圳,支付宝,2025-11-01,774
电子产品,1,199,南京,银行卡,2025-11-02,199
图书,6,39,西安,支付宝,2025-11-02,234
图书,10,59,成都,支付宝,2025-11-02,590
图书,9,89,广州,支付宝,2025-11-03,801
食品,2,59,上海,支付宝,2025-11-03,118
家居用品,8,399,长沙,支付宝,2025-11-03,3192
食品,3,39,广州,支付宝,2025-11-03,117
图书,8,79,青岛,银行卡,2025-11-03,632
服装,4,499,苏州,银行卡,2025-11-04,1996
家居用品,10,79,西安,支付宝,2025-11-04,790
图书,5,69,重庆,银行卡,2025-11-04,345
食品,6,49,南京,支付宝,2025-11-04,294
家居用品,5,49,长沙,银行卡,2025-11-04,245
图书,7,39,宁波,银行卡,2025-11-05,273
家居用品,5,79,重庆,支付宝,2025-11-05,395
家居用品,8,29,合肥,支付宝,2025-11-05,232
服装,9,299,天津,银行卡,2025-11-05,2691
服装,6,899,宁波,支付宝,2025-11-05,5394
家居用品,1,399,西安,微信支付,2025-11-05,399
家居用品,1,89,天津,银行卡,2025-11-05,89
电子产品,5,89,深圳,银行卡,2025-11-06,445
服装,6,299,广州,微信支付,2025-11-06,1794
家居用品,6,99,郑州,支付宝,2025-11-07,594
食品,2,29,青岛,支付宝,2025-11-07,58
食品,3,39,广州,微信支付,2025-11-07,117
家居用品,5,39,长沙,支付宝,2025-11-07,195
服装,4,349,郑州,银行卡,2025-11-08,1396
图书,8,29,杭州,微信支付,2025-11-08,232
图书,8,79,福州,微信支付,2025-11-08,632
服装,4,89,重庆,银行卡,2025-11-08,356
图书,5,79,南京,微信支付,2025-11-08,395
服装,5,399,天津,支付宝,2025-11-08,1995
电子产品,6,2999,深圳,支付宝,2025-11-11,17994
家居用品,3,99,宁波,银行卡,2025-11-11,297
服装,4,29,上海,支付宝,2025-11-12,116
食品,1,59,福州,支付宝,2025-11-12,59
食品,1,39,成都,微信支付,2025-11-12,39
家居用品,6,199,郑州,银行卡,2025-11-12,1194
图书,9,129,武汉,微信支付,2025-11-12,1161
电子产品,5,199,北京,支付宝,2025-11-13,995
服装,6,149,苏州,微信支付,2025-11-13,894
电子产品,3,89,昆明,微信支付,2025-11-13,267
电子产品,8,299,郑州,微信支付,2025-11-13,2392
家居用品,8,5999,重庆,支付宝,2025-11-13,47992
服装,9,399,重庆,支付宝,2025-11-14,3591
食品,2,69,杭州,支付宝,2025-11-14,138
食品,1,79,郑州,支付宝,2025-11-14,79
食品,10,79,深圳,银行卡,2025-11-14,790
电子产品,4,5999,成都,支付宝,2025-11-15,23996
服装,1,79,西安,银行卡,2025-11-15,79
家居用品,10,49,苏州,银行卡,2025-11-15,490
图书,7,29,郑州,微信支付,2025-11-15,203
食品,5,89,重庆,支付宝,2025-11-16,445
服装,7,129,北京,银行卡,2025-11-16,903
图书,4,99,南京,微信支付,2025-11-17,396
服装,10,59,天津,支付宝,2025-11-17,590
电子产品,3,59,重庆,银行卡,2025-11-17,177
电子产品,2,2999,北京,支付宝,2025-11-17,5998
服装,9,249,成都,支付宝,2025-11-17,2241
电子产品,4,899,苏州,微信支付,2025-11-17,3596
家居用品,3,49,上海,支付宝,2025-11-17,147
服装,5,299,重庆,微信支付,2025-11-18,1495
图书,9,29,杭州,支付宝,2025-11-18,261
电子产品,9,299,青岛,支付宝,2025-11-18,2691
电子产品,8,129,福州,支付宝,2025-11-18,1032
电子产品,10,2999,福州,微信支付,2025-11-18,29990
服装,1,349,深圳,支付宝,2025-11-19,349
服装,8,249,西安,银行卡,2025-11-19,1992
图书,7,59,杭州,微信支付,2025-11-20,413
家居用品,10,199,深圳,银行卡,2025-11-20,1990
图书,6,79,宁波,微信支付,2025-11-20,474
电子产品,8,2499,成都,支付宝,2025-11-21,19992
家居用品,6,89,武汉,微信支付,2025-11-21,534
家居用品,8,39,北京,微信支付,2025-11-22,312
食品,7,29,郑州,银行卡,2025-11-23,203
食品,10,19,青岛,微信支付,2025-11-23,190
电子产品,8,299,北京,微信支付,2025-11-24,2392
食品,2,89,昆明,支付宝,2025-11-24,178
图书,8,29,福州,支付宝,2025-11-24,232
电子产品,9,399,成都,银行卡,2025-11-25,3591
食品,8,89,宁波,银行卡,2025-11-25,712
电子产品,2,299,南京,微信支付,2025-11-25,598
电子产品,8,89,长沙,微信支付,2025-11-26,712
图书,6,99,宁波,银行卡,2025-11-26,594
服装,10,599,长沙,银行卡,2025-11-26,5990
电子产品,6,249,青岛,支付宝,2025-11-26,1494
电子产品,5,899,武汉,支付宝,2025-11-26,4495
电子产品,2,39,南京,银行卡,2025-11-26,78
家居用品,4,59,武汉,支付宝,2025-11-26,236
家居用品,8,59,南京,银行卡,2025-11-27,472
电子产品,3,299,南京,银行卡,2025-11-27,897
食品,5,69,郑州,微信支付,2025-11-27,345
图书,4,89,深圳,微信支付,2025-11-27,356
食品,9,19,重庆,支付宝,2025-11-28,171
服装,6,79,西安,支付宝,2025-11-28,474
家居用品,8,299,郑州,银行卡,2025-11-28,2392
食品,9,59,苏州,微信支付,2025-11-28,531
服装,3,129,郑州,支付宝,2025-11-28,387
食品,10,49,合肥,微信支付,2025-11-29,490
家居用品,8,89,杭州,支付宝,2025-11-29,712
电子产品,6,49,苏州,微信支付,2025-11-29,294
服装,2,449,广州,支付宝,2025-11-29,898
服装,10,299,上海,银行卡,2025-11-30,2990
电子产品,4,2499,郑州,支付宝,2025-11-30,9996
服装,3,449,昆明,银行卡,2025-11-30,1347
食品,4,79,杭州,支付宝,2025-11-30,316
图书,6,49,苏州,银行卡,2025-11-30,294
食品,7,49,郑州,微信支付,2025-12-01,343
服装,3,399,宁波,银行卡,2025-12-01,1197
食品,2,59,南京,支付宝,2025-12-01,118
电子产品,10,149,郑州,支付宝,2025-12-01,1490
家居用品,4,49,长沙,支付宝,2025-12-01,196
食品,1,39,福州,支付宝,2025-12-02,39
图书,2,99,青岛,银行卡,2025-12-03,198
电子产品,3,199,成都,微信支付,2025-12-04,597
家居用品,10,79,苏州,微信支付,2025-12-04,790
电子产品,10,299,北京,支付宝,2025-12-04,2990
图书,4,59,郑州,支付宝,2025-12-05,236
服装,2,299,苏州,支付宝,2025-12-05,598
食品,9,89,青岛,支付宝,2025-12-05,801
食品,3,49,西安,支付宝,2025-12-05,147
家居用品,10,79,昆明,微信支付,2025-12-05,790
图书,4,29,昆明,支付宝,2025-12-05,116
图书,4,129,昆明,银行卡,2025-12-05,516
家居用品,3,49,杭州,支付宝,2025-12-05,147
电子产品,3,899,重庆,银行卡,2025-12-06,2697
家居用品,3,39,昆明,支付宝,2025-12-06,117
服装,7,599,昆明,微信支付,2025-12-06,4193
电子产品,2,199,郑州,支付宝,2025-12-06,398
电子产品,8,39,福州,支付宝,2025-12-07,312
家居用品,6,3999,上海,支付宝,2025-12-07,23994
图书,6,99,苏州,支付宝,2025-12-08,594
家居用品,8,49,厦门,支付宝,2025-12-08,392
食品,8,129,杭州,支付宝,2025-12-09,1032
电子产品,9,89,长沙,支付宝,2025-12-09,801
服装,3,449,杭州,支付宝,2025-12-09,1347
图书,9,89,北京,支付宝,2025-12-09,801
食品,7,59,南京,支付宝,2025-12-09,413
图书,9,39,深圳,支付宝,2025-12-10,351
服装,9,59,合肥,银行卡,2025-12-10,531
家居用品,5,5999,天津,银行卡,2025-12-10,29995
图书,10,29,天津,银行卡,2025-12-10,290
电子产品,9,299,上海,支付宝,2025-12-10,2691
电子产品,1,199,福州,微信支付,2025-12-11,199
食品,2,59,武汉,支付宝,2025-12-11,118
图书,5,39,厦门,支付宝,2025-12-11,195
电子产品,4,399,重庆,微信支付,2025-12-12,1596
电子产品,4,129,青岛,微信支付,2025-12-12,516
家居用品,10,299,天津,支付宝,2025-12-13,2990
食品,8,29,青岛,微信支付,2025-12-13,232
食品,2,89,深圳,微信支付,2025-12-13,178
服装,10,199,郑州,支付宝,2025-12-13,1990
家居用品,2,199,重庆,支付宝,2025-12-14,398
服装,5,249,福州,支付宝,2025-12-14,1245
食品,9,39,南京,微信支付,2025-12-14,351
食品,8,29,昆明,支付宝,2025-12-15,232
家居用品,4,59,成都,支付宝,2025-12-15,236
电子产品,10,129,福州,微信支付,2025-12-15,1290
电子产品,4,199,青岛,微信支付,2025-12-15,796
图书,2,59,郑州,银行卡,2025-12-15,118
图书,4,49,昆明,银行卡,2025-12-16,196
电子产品,3,299,杭州,微信支付,2025-12-16,897
家居用品,9,49,深圳,支付宝,2025-12-16,441
电子产品,10,1299,宁波,支付宝,2025-12-16,12990
服装,7,299,深圳,微信支付,2025-12-17,2093
电子产品,4,199,北京,支付宝,2025-12-17,796
图书,4,89,南京,银行卡,2025-12-17,356
电子产品,3,49,宁波,银行卡,2025-12-17,147
食品,1,29,苏州,支付宝,2025-12-17,29
服装,4,249,青岛,银行卡,2025-12-18,996
服装,1,499,宁波,支付宝,2025-12-18,499
电子产品,9,39,青岛,支付宝,2025-12-19,351
图书,8,89,西安,银行卡,2025-12-20,712
电子产品,10,49,西安,银行卡,2025-12-20,490
电子产品,6,2999,宁波,支付宝,2025-12-20,17994
家居用品,9,299,福州,支付宝,2025-12-20,2691
家居用品,9,49,长沙,支付宝,2025-12-20,441
服装,7,399,苏州,银行卡,2025-12-20,2793
图书,10,49,成都,微信支付,2025-12-20,490
服装,9,299,宁波,微信支付,2025-12-21,2691
食品,7,59,广州,支付宝,2025-12-21,413
电子产品,7,299,福州,支付宝,2025-12-21,2093
服装,10,399,广州,支付宝,2025-12-22,3990
图书,3,129,天津,支付宝,2025-12-22,387
食品,5,69,长沙,支付宝,2025-12-22,345
服装,7,599,宁波,支付宝,2025-12-22,4193
家居用品,9,99,广州,支付宝,2025-12-23,891
食品,6,29,武汉,微信支付,2025-12-23,174
图书,8,39,西安,微信支付,2025-12-25,312
图书,5,29,广州,银行卡,2025-12-25,145
电子产品,10,399,昆明,银行卡,2025-12-25,3990
电子产品,5,39,宁波,银行卡,2025-12-25,195
电子产品,7,89,重庆,银行卡,2025-12-26,623
服装,3,299,天津,支付宝,2025-12-27,897
电子产品,9,399,昆明,支付宝,2025-12-27,3591
图书,4,49,广州,支付宝,2025-12-27,196
电子产品,1,129,苏州,微信支付,2025-12-27,129
电子产品,1,39,厦门,微信支付,2025-12-28,39
图书,5,99,长沙,银行卡,2025-12-28,495
食品,4,49,深圳,银行卡,2025-12-28,196
家居用品,5,39,深圳,银行卡,2025-12-28,195
服装,9,59,北京,支付宝,2025-12-28,531
服装,1,399,宁波,支付宝,2025-12-29,399
家居用品,8,29,长沙,银行卡,2025-12-29,232
图书,4,49,杭州,支付宝,2025-12-29,196
家居用品,2,5999,昆明,银行卡,2025-12-29,11998
家居用品,3,29,西安,支付宝,2025-12-29,87
食品,2,59,广州,微信支付,2025-12-29,118
食品,4,59,厦门,银行卡,2025-12-29,236
食品,4,19,成都,银行卡,2025-12-29,76
家居用品,3,49,北京,支付宝,2025-12-30,147
家居用品,6,299,合肥,银行卡,2025-12-31,1794
电子产品,1,199,杭州,支付宝,2025-12-31,199
服装,1,199,青岛,支付宝,2025-12-31,199
电子产品,9,129,杭州,支付宝,2025-12-31,1161
服装,4,129,昆明,微信支付,2026-01-01,516
食品,1,89,长沙,支付宝,2026-01-01,89
服装,9,249,杭州,支付宝,2026-01-01,2241
食品,3,49,郑州,支付宝,2026-01-01,147
电子产品,6,2499,厦门,银行卡,2026-01-02,14994
电子产品,8,2499,长沙,银行卡,2026-01-02,19992
服装,8,29,武汉,银行卡,2026-01-02,232
图书,7,29,长沙,微信支付,2026-01-02,203
食品,8,89,厦门,支付宝,2026-01-02,712
电子产品,5,899,西安,银行卡,2026-01-02,4495
服装,6,349,苏州,银行卡,2026-01-02,2094
服装,8,899,郑州,支付宝,2026-01-02,7192
食品,7,69,郑州,微信支付,2026-01-03,483
服装,9,29,苏州,支付宝,2026-01-03,261
服装,6,149,合肥,支付宝,2026-01-03,894
食品,1,69,杭州,支付宝,2026-01-03,69
图书,5,69,长沙,银行卡,2026-01-03,345
图书,10,39,重庆,微信支付,2026-01-03,390
食品,8,39,郑州,支付宝,2026-01-04,312
家居用品,1,39,南京,支付宝,2026-01-04,39
家居用品,7,49,广州,支付宝,2026-01-04,343
食品,2,29,上海,微信支付,2026-01-05,58
家居用品,8,29,厦门,银行卡,2026-01-05,232
食品,6,59,昆明,银行卡,2026-01-05,354
服装,10,399,重庆,支付宝,2026-01-06,3990
图书,7,129,合肥,银行卡,2026-01-06,903
图书,2,49,天津,银行卡,2026-01-07,98
电子产品,2,89,成都,支付宝,2026-01-07,178
食品,1,49,长沙,支付宝,2026-01-08,49
电子产品,4,199,苏州,微信支付,2026-01-08,796
家居用品,7,49,广州,银行卡,2026-01-08,343
电子产品,9,899,福州,微信支付,2026-01-08,8091
食品,2,69,深圳,支付宝,2026-01-09,138
食品,4,19,宁波,银行卡,2026-01-10,76
服装,5,699,上海,支付宝,2026-01-10,3495
服装,10,299,天津,支付宝,2026-01-10,2990
服装,5,79,武汉,微信支付,2026-01-11,395
图书,4,59,上海,支付宝,2026-01-11,236
图书,8,49,成都,微信支付,2026-01-12,392
食品,3,59,昆明,支付宝,2026-01-12,177
服装,3,149,上海,银行卡,2026-01-12,447
食品,8,79,南京,支付宝,2026-01-12,632
家居用品,7,49,厦门,支付宝,2026-01-12,343
电子产品,3,49,杭州,支付宝,2026-01-12,147
图书,7,89,北京,支付宝,2026-01-13,623
图书,3,59,合肥,微信支付,2026-01-13,177
服装,1,599,苏州,微信支付,2026-01-13,599
家居用品,2,49,昆明,微信支付,2026-01-13,98
服装,7,699,武汉,银行卡,2026-01-13,4893
家居用品,9,79,北京,银行卡,2026-01-13,711
服装,4,299,厦门,银行卡,2026-01-14,1196
家居用品,10,49,成都,微信支付,2026-01-14,490
食品,8,129,杭州,支付宝,2026-01-15,1032
服装,7,449,长沙,支付宝,2026-01-15,3143
图书,7,69,深圳,支付宝,2026-01-15,483
电子产品,5,29,青岛,微信支付,2026-01-15,145
家居用品,9,49,宁波,微信支付,2026-01-15,441
家居用品,6,49,深圳,支付宝,2026-01-16,294
图书,4,89,北京,微信支付,2026-01-17,356
图书,9,59,厦门,微信支付,2026-01-17,531
家居用品,2,49,苏州,支付宝,2026-01-18,98
电子产品,1,29,武汉,银行卡,2026-01-19,29
服装,9,129,南京,支付宝,2026-01-19,1161
服装,5,199,福州,支付宝,2026-01-19,995
电子产品,2,399,广州,支付宝,2026-01-19,798
家居用品,7,49,北京,微信支付,2026-01-20,343
家居用品,7,39,长沙,微信支付,2026-01-20,273
图书,5,39,福州,微信支付,2026-01-20,195
家居用品,1,39,昆明,支付宝,2026-01-20,39
食品,4,19,厦门,支付宝,2026-01-21,76
图书,10,59,南京,微信支付,2026-01-21,590
家居用品,1,39,北京,微信支付,2026-01-21,39
图书,3,49,重庆,微信支付,2026-01-21,147
食品,4,89,长沙,支付宝,2026-01-22,356
家居用品,5,399,西安,银行卡,2026-01-22,1995
食品,8,49,北京,银行卡,2026-01-22,392
服装,8,349,合肥,支付宝,2026-01-22,2792
服装,2,299,南京,支付宝,2026-01-23,598
服装,6,29,西安,支付宝,2026-01-24,174
家居用品,6,79,苏州,银行卡,2026-01-24,474
电子产品,7,2999,北京,银行卡,2026-01-24,20993
电子产品,5,2499,青岛,支付宝,2026-01-24,12495
电子产品,6,399,宁波,微信支付,2026-01-24,2394
服装,1,59,广州,微信支付,2026-01-25,59
图书,1,99,昆明,微信支付,2026-01-25,99
服装,3,149,宁波,微信支付,2026-01-25,447
图书,3,99,南京,支付宝,2026-01-25,297
食品,4,199,合肥,微信支付,2026-01-25,796
家居用品,3,49,武汉,微信支付,2026-01-25,147
图书,1,129,广州,支付宝,2026-01-25,129
食品,1,49,厦门,支付宝,2026-01-25,49
服装,3,59,福州,微信支付,2026-01-26,177
服装,10,89,成都,支付宝,2026-01-26,890
服装,2,399,青岛,微信支付,2026-01-26,798
家居用品,7,79,北京,支付宝,2026-01-26,553
服装,4,399,青岛,银行卡,2026-01-27,1596
电子产品,9,5999,福州,支付宝,2026-01-27,53991
图书,9,49,昆明,支付宝,2026-01-27,441
图书,6,99,西安,银行卡,2026-01-27,594
服装,2,29,武汉,银行卡,2026-01-28,58
食品,9,89,宁波,微信支付,2026-01-28,801
服装,10,29,厦门,支付宝,2026-01-28,290
食品,3,39,昆明,支付宝,2026-01-29,117
食品,8,129,深圳,银行卡,2026-01-30,1032
食品,9,49,长沙,银行卡,2026-01-30,441
电子产品,4,899,西安,微信支付,2026-01-30,3596
电子产品,7,59,苏州,微信支付,2026-01-31,413
电子产品,8,299,广州,微信支付,2026-01-31,2392
食品,3,69,深圳,银行卡,2026-01-31,207
图书,9,59,北京,银行卡,2026-02-01,531
家居用品,1,299,青岛,微信支付,2026-02-01,299
电子产品,2,149,重庆,银行卡,2026-02-01,298
服装,1,899,北京,支付宝,2026-02-01,899
服装,4,149,宁波,支付宝,2026-02-02,596
家居用品,4,399,重庆,支付宝,2026-02-02,1596
服装,2,349,深圳,银行卡,2026-02-02,698
电子产品,10,1299,重庆,支付宝,2026-02-02,12990
电子产品,4,299,西安,支付宝,2026-02-03,1196
家居用品,2,5999,广州,银行卡,2026-02-03,11998
图书,3,69,上海,微信支付,2026-02-03,207
家居用品,5,399,南京,支付宝,2026-02-03,1995
家居用品,1,49,上海,微信支付,2026-02-04,49
电子产品,2,299,北京,支付宝,2026-02-04,598
服装,9,129,广州,微信支付,2026-02-04,1161
电子产品,2,89,南京,银行卡,2026-02-04,178
服装,1,299,苏州,银行卡,2026-02-05,299
图书,4,59,郑州,支付宝,2026-02-05,236
电子产品,6,199,郑州,微信支付,2026-02-06,1194
电子产品,1,2499,长沙,微信支付,2026-02-06,2499
家居用品,6,79,武汉,微信支付,2026-02-06,474
食品,1,199,宁波,银行卡,2026-02-06,199
家居用品,2,49,南京,微信支付,2026-02-06,98
服装,7,299,厦门,支付宝,2026-02-06,2093
食品,5,39,青岛,支付宝,2026-02-07,195
家居用品,9,79,南京,微信支付,2026-02-07,711
电子产品,5,399,福州,现金,2026-02-07,1995
家居用品,9,59,上海,银行卡,2026-02-08,531
服装,10,79,福州,微信支付,2026-02-08,790
电子产品,10,249,成都,微信支付,2026-02-09,2490
图书,9,59,郑州,支付宝,2026-02-09,531
服装,1,349,厦门,支付宝,2026-02-09,349
服装,2,399,成都,微信支付,2026-02-09,798
图书,10,79,郑州,微信支付,2026-02-09,790
食品,3,49,福州,银行卡,2026-02-10,147
食品,5,129,广州,支付宝,2026-02-10,645
图书,6,49,西安,支付宝,2026-02-11,294
食品,7,59,苏州,银行卡,2026-02-12,413
食品,2,79,北京,微信支付,2026-02-12,158
家居用品,7,79,西安,银行卡,2026-02-12,553
电子产品,10,149,厦门,支付宝,2026-02-12,1490
服装,7,349,青岛,银行卡,2026-02-12,2443
服装,3,299,宁波,支付宝,2026-02-13,897
食品,1,49,西安,支付宝,2026-02-13,49
图书,2,89,天津,支付宝,2026-02-13,178
服装,3,899,郑州,支付宝,2026-02-13,2697
图书,7,49,天津,支付宝,2026-02-14,343
服装,10,399,杭州,微信支付,2026-02-15,3990
家居用品,9,3999,昆明,支付宝,2026-02-15,35991
图书,2,99,昆明,微信支付,2026-02-16,198
电子产品,9,89,青岛,支付宝,2026-02-16,801
服装,6,129,广州,银行卡,2026-02-16,774
食品,10,29,厦门,支付宝,2026-02-16,290
家居用品,4,99,南京,支付宝,2026-02-16,396
电子产品,8,89,深圳,支付宝,2026-02-16,712
服装,5,199,武汉,支付宝,2026-02-16,995
电子产品,4,149,广州,微信支付,2026-02-16,596
电子产品,3,89,西安,支付宝,2026-02-17,267
家居用品,3,99,成都,支付宝,2026-02-17,297
服装,8,299,成都,支付宝,2026-02-18,2392
家居用品,1,59,厦门,银行卡,2026-02-18,59
服装,9,449,上海,支付宝,2026-02-18,4041
家居用品,4,39,青岛,微信支付,2026-02-18,156
食品,3,29,福州,微信支付,2026-02-19,87
服装,10,449,北京,银行卡,2026-02-19,4490
电子产品,4,299,广州,支付宝,2026-02-20,1196
家居用品,3,39,长沙,支付宝,2026-02-21,117
服装,3,149,北京,微信支付,2026-02-21,447
电子产品,2,59,长沙,银行卡,2026-02-22,118
食品,2,59,郑州,支付宝,2026-02-22,118
家居用品,3,399,西安,支付宝,2026-02-22,1197
电子产品,10,399,杭州,支付宝,2026-02-22,3990
食品,1,89,苏州,支付宝,2026-02-23,89
食品,8,199,上海,微信支付,2026-02-23,1592
电子产品,4,129,厦门,银行卡,2026-02-23,516
图书,1,99,厦门,银行卡,2026-02-23,99
食品,1,29,西安,支付宝,2026-02-24,29
食品,8,39,宁波,支付宝,2026-02-24,312
服装,6,199,西安,微信支付,2026-02-24,1194
电子产品,8,59,合肥,银行卡,2026-02-24,472
电子产品,10,249,合肥,支付宝,2026-02-24,2490
食品,9,29,福州,微信支付,2026-02-25,261
服装,9,89,西安,微信支付,2026-02-25,801
家居用品,2,49,上海,银行卡,2026-02-26,98
家居用品,3,399,长沙,银行卡,2026-02-26,1197
家居用品,5,39,武汉,支付宝,2026-02-26,195
家居用品,10,199,深圳,微信支付,2026-02-26,1990
食品,10,39,南京,微信支付,2026-02-26,390
家居用品,1,399,西安,支付宝,2026-02-27,399
服装,9,129,长沙,微信支付,2026-02-27,1161
食品,9,69,成都,支付宝,2026-02-28,621
服装,10,249,合肥,银行卡,2026-02-28,2490
服装,7,349,天津,支付宝,2026-02-28,2443
服装,5,299,南京,支付宝,2026-03-01,1495
图书,7,99,杭州,支付宝,2026-03-01,693
图书,1,29,宁波,支付宝,2026-03-01,29
食品,10,69,重庆,微信支付,2026-03-01,690
图书,6,29,重庆,支付宝,2026-03-01,174
食品,2,199,宁波,微信支付,2026-03-01,398
服装,8,29,天津,支付宝,2026-03-01,232
家居用品,5,39,福州,支付宝,2026-03-02,195
服装,6,399,苏州,支付宝,2026-03-03,2394
家居用品,6,89,合肥,银行卡,2026-03-04,534
电子产品,6,149,宁波,支付宝,2026-03-04,894
家居用品,10,59,北京,微信支付,2026-03-04,590
图书,10,59,昆明,银行卡,2026-03-05,590
食品,3,69,上海,微信支付,2026-03-05,207
图书,3,29,厦门,银行卡,2026-03-05,87
服装,10,899,上海,微信支付,2026-03-06,8990
食品,4,39,天津,微信支付,2026-03-06,156
服装,8,599,南京,支付宝,2026-03-06,4792
图书,6,39,昆明,微信支付,2026-03-06,234
家居用品,4,39,苏州,微信支付,2026-03-07,156
家居用品,7,99,天津,支付宝,2026-03-07,693
图书,8,99,深圳,银行卡,2026-03-07,792
食品,6,39,天津,银行卡,2026-03-07,234
食品,2,69,北京,微信支付,2026-03-08,138
服装,5,89,成都,微信支付,2026-03-08,445
食品,9,59,南京,支付宝,2026-03-08,531
电子产品,9,89,宁波,微信支付,2026-03-08,801
家居用品,1,399,广州,支付宝,2026-03-08,399
食品,1,39,武汉,支付宝,2026-03-09,39
电子产品,4,399,长沙,银行卡,2026-03-09,1596
电子产品,5,89,武汉,支付宝,2026-03-09,445
电子产品,1,149,杭州,支付宝,2026-03-09,149
服装,7,399,合肥,支付宝,2026-03-10,2793
食品,10,49,北京,银行卡,2026-03-10,490
家居用品,8,39,苏州,银行卡,2026-03-11,312
家居用品,4,199,长沙,微信支付,2026-03-11,796
服装,8,299,厦门,银行卡,2026-03-11,2392
图书,10,69,杭州,银行卡,2026-03-11,690
图书,10,39,昆明,微信支付,2026-03-12,390
图书,2,89,天津,支付宝,2026-03-12,178
食品,1,59,杭州,支付宝,2026-03-12,59
服装,7,29,昆明,微信支付,2026-03-12,203
家居用品,3,99,西安,支付宝,2026-03-12,297
食品,4,199,福州,银行卡,2026-03-13,796
电子产品,8,399,杭州,支付宝,2026-03-13,3192
食品,3,69,重庆,微信支付,2026-03-13,207
图书,8,79,天津,微信支付,2026-03-13,632
家居用品,3,59,厦门,微信支付,2026-03-13,177
电子产品,5,299,宁波,支付宝,2026-03-13,1495
食品,2,69,青岛,支付宝,2026-03-14,138
图书,7,79,深圳,支付宝,2026-03-14,553
食品,7,89,郑州,微信支付,2026-03-14,623
家居用品,10,79,宁波,支付宝,2026-03-14,790
图书,9,59,长沙,支付宝,2026-03-15,531
家居用品,5,199,青岛,支付宝,2026-03-15,995
家居用品,5,89,合肥,支付宝,2026-03-15,445
服装,8,149,杭州,支付宝,2026-03-15,1192
服装,6,149,杭州,银行卡,2026-03-15,894
服装,6,399,厦门,微信支付,2026-03-15,2394
图书,1,59,北京,银行卡,2026-03-15,59
电子产品,1,249,长沙,银行卡,2026-03-15,249
服装,7,299,苏州,支付宝,2026-03-16,2093
图书,4,59,长沙,支付宝,2026-03-18,236
电子产品,6,149,福州,支付宝,2026-03-18,894
家居用品,10,39,天津,银行卡,2026-03-19,390
电子产品,2,199,广州,微信支付,2026-03-19,398
服装,8,89,广州,微信支付,2026-03-20,712
服装,6,599,广州,微信支付,2026-03-20,3594
图书,10,49,长沙,微信支付,2026-03-20,490
食品,2,79,成都,支付宝,2026-03-20,158
服装,4,129,南京,支付宝,2026-03-20,516
食品,7,39,广州,支付宝,2026-03-20,273
食品,5,89,西安,银行卡,2026-03-20,445
